ticker,baseline_if
A,0.5161773294906634
AAPL,0.5063671468088312
ABBV,0.4743732219749912
ABNB,0.6450580690511181
ABT,0.46460615508387515
ACGL,0.4865893038267519
ACN,0.4821951192358869
ADBE,0.4583339256366465
ADI,0.4174724328064741
ADM,0.4133610751509525
ADP,0.4379193462631941
ADSK,0.4995733706204429
AEE,0.5033586977932503
AEP,0.45514326509078507
AES,0.5033752618634405
AFL,0.42962319219038103
AIG,0.4354637407185409
AIZ,0.4423025338698819
AJG,0.4315698217659227
AKAM,0.42142588327435493
ALB,0.45275249307611826
ALGN,0.4646588586973798
ALL,0.4377680568955222
ALLE,0.44728191324242056
AMAT,0.44129751591696287
AMCR,0.440709311733482
AMD,0.41415860116114184
AME,0.4874778466776003
AMGN,0.40435871115197614
AMP,0.45968913750515317
AMT,0.42609487830095005
AMZN,0.4795849014667211
ANET,0.47780544021969884
ANSS,0.43956301948053617
AON,0.42183875763619066
AOS,0.4959812270489615
APA,0.4298792622599837
APD,0.4757641379627932
APH,0.4462620882146032
APTV,0.4110012953109725
ARE,0.464001117242489
ATO,0.4956614988905568
AVB,0.4247268853112942
AVGO,0.4757755390622841
AVY,0.44469658373143706
AWK,0.4549126609471456
AXON,0.5667936723414342
AXP,0.4420898152284846
AZO,0.4186576582359778
BA,0.45773390358794813
BAC,0.48833647012985615
BALL,0.48789563742358044
BAX,0.492586160549531
BBY,0.41827713451134974
BDX,0.4432504420629649
BEN,0.4474054686308632
BF.B,0.4352026954285329
BG,0.47313185519550693
BIIB,0.42280625299147145
BK,0.45787091981189926
BKNG,0.49357269746080495
BKR,0.47663081926003015
BLK,0.4117727228712277
BMY,0.42965801524793273
BR,0.4098573726893454
BRK.B,0.6585379061473682
BRO,0.5041795202231146
BSX,0.43732756340015244
BWA,0.44841657282109876
BX,0.6082681893005207
BXP,0.44768008829627726
C,0.5312024084839008
CAG,0.47259615497157575
CAH,0.42377529499154404
CARR,0.4632108884819171
CAT,0.41868999694604625
CB,0.4876551041048793
CBOE,0.4565801973881621
CBRE,0.5014059230183937
CCI,0.430781479621476
CCL,0.43644612313759895
CDNS,0.4240083938928938
CDW,0.44066921668549824
CE,0.44754402927310594
CEG,0.4998559356845112
CF,0.4536936325259057
CFG,0.4471015964070397
CHD,0.45997160150864874
