ticker,tuned_if
A,0.5468132324288765
AAPL,0.5374095643704901
ABBV,0.504078381782737
ABNB,0.6660373870347975
ABT,0.49674666273542306
ACGL,0.5195602216106128
ACN,0.5157511127362774
ADBE,0.4780130170201473
ADI,0.4461040846611206
ADM,0.44408293759467715
ADP,0.46219286816658334
ADSK,0.5252201323517715
AEE,0.5283220251554762
AEP,0.489001614916592
AES,0.5343714936360476
AFL,0.4589687453593508
AIG,0.47060255915109694
AIZ,0.47382448037862507
AJG,0.46264545819342756
AKAM,0.45707233733088426
ALB,0.4728330406994842
ALGN,0.5015242780911287
ALL,0.4671525818355013
ALLE,0.4706414500555982
AMAT,0.4793593968526933
AMCR,0.4677643616892682
AMD,0.4423051953306378
AME,0.509454202407871
AMGN,0.42937036796883393
AMP,0.4999595494543193
AMT,0.4569828875895094
AMZN,0.5001041437145098
ANET,0.502538625727325
ANSS,0.4709357778749718
AON,0.453368646411303
AOS,0.5168265604630656
APA,0.46053212484437595
APD,0.4986072412923125
APH,0.4737667656314207
APTV,0.4312057264279852
ARE,0.48046456077072863
ATO,0.5197450435032809
AVB,0.45175238314921723
AVGO,0.4978129586436751
AVY,0.46641850257154455
AWK,0.4832027489974733
AXON,0.5931073167213605
AXP,0.47699198469637766
AZO,0.4470378869320052
BA,0.48499235366523386
BAC,0.5130673658714346
BALL,0.5064640081516195
BAX,0.5194726832991101
BBY,0.4549249552483667
BDX,0.4718071193832654
BEN,0.47879858770700556
BF.B,0.4606646278537569
BG,0.5044060004029945
BIIB,0.4505868570376165
BK,0.4932659669943863
BKNG,0.5300787384129731
BKR,0.5000121194773606
BLK,0.4387812374452195
BMY,0.46117296303442856
BR,0.4343602581601392
BRK.B,0.6655682644815933
BRO,0.5438315959647485
BSX,0.4592835125977459
BWA,0.4787980183702077
BX,0.6219966519305462
BXP,0.4748860499853485
C,0.5475241672486479
CAG,0.5059242998998736
CAH,0.46245497487659665
CARR,0.49215176767150026
CAT,0.4452681248064451
CB,0.516534582632721
CBOE,0.4795798496699197
CBRE,0.5432441859221472
CCI,0.4500320013624131
CCL,0.46865762140130296
CDNS,0.44969454751018967
CDW,0.47094881862324767
CE,0.4779712797677682
CEG,0.5345386841019286
CF,0.47951481011312524
CFG,0.4749310094570541
CHD,0.47714947666253554
CHRW,0.5238895299825376
CHTR,0.596598872929368
CI,0.4753615677910865
CINF,0.4923369997986549
CL,0.5397152508233349
CLX,0.4413545951730914
CMCSA,0.5197583100699983
CME,0.4782361634569476
CMG,0.5124003532325112
CMI,0.45437121687359844
CMS,0.49692272072843885
CNC,0.4657238959962704
CNP,0.5684033124939347
COF,0.4435185235462277
COO,0.4626293352777825
COP,0.4700699467441335
COR,0.5115571915564443
COST,0.5395743895902958
CPB,0.5040905879648911
CPRT,0.5105568406196164
CPT,0.4537807967008476
CRL,0.4719868097036827
CRM,0.4721627118828246
CSCO,0.5333526253840714
CSGP,0.492806852134893
CSX,0.49605135314679843
CTAS,0.4429941974647444
CTLT,0.4985527806362948
CTRA,0.6098954871811045
CTSH,0.4724491419163551
CTVA,0.48408270024729794
CVS,0.5095982198069302
CVX,0.4968484403572254
CZR,0.4719794710005239
D,0.47647219339152386
DAL,0.4886668069219302
DD,0.5267152870075879
DE,0.4573122933142942
DFS,0.5010457234072812
DG,0.5284026456086773
DGX,0.45994541643310155
DHI,0.5514454210026124
DHR,0.44032850480825014
DIS,0.5394874411795753
DLR,0.46118271782510467
DLTR,0.47473062937501775
DOV,0.5022641477861928
DOW,0.5759026964002971
DPZ,0.522473197351894
DRI,0.4798475354808952
DTE,0.4965569966954094
DUK,0.44744226149354166
DVA,0.46930443820238393
DVN,0.4608193044644151
DXCM,0.5659280414092391
EA,0.4835867770875713
EBAY,0.4612065128496863
ECL,0.4940312624347676
ED,0.4654365253751339
EFX,0.5347254872537636
EG,0.5481668290624169
EIX,0.4437344175095214
EL,0.5423828511283244
ELV,0.45314292993387556
EMN,0.4537856162778817
EMR,0.4379373253879455
ENPH,0.5335867585666436
EOG,0.4973524599804174
EPAM,0.47689706074381333
EQIX,0.4554572785118875
EQR,0.45497009042602016
EQT,0.49880525111555074
ES,0.4725407263942646
ESS,0.5245396027164744
ETN,0.548634348963719
ETR,0.46386377680072755
EVRG,0.512450659196085
EW,0.4612312477514058
EXC,0.5127528233191085
EXPD,0.46391440096175146
EXPE,0.6045080839530718
EXR,0.5907027753382009
F,0.576442174966444
FANG,0.5180518823009294
FAST,0.5343422736896911
FCX,0.4969213542865406
FDS,0.4686171125525415
FDX,0.5060683714955251
FE,0.44516903263474955
FFIV,0.48021858061772027
FI,0.51691381360747
FICO,0.5193304776299563
FIS,0.513844585048368
FITB,0.45468189912093804
FMC,0.4512802800303318
FOXA,0.47740708272709587
FRT,0.48958241758516124
FSLR,0.4450724112108983
FTNT,0.4887620654741493
FTV,0.45823659753507834
GD,0.47967315140978295
GE,0.5332705932403545
GEN,0.4689044334035003
GILD,0.48923435834100126
GIS,0.5148741846866544
GL,0.47672458487076924
GLW,0.45548250610977614
GM,0.5166926523716314
GNRC,0.5936759116039937
GOOGL,0.5541456823685988
GPC,0.530162106052293
GPN,0.5598132894388749
GRMN,0.4399126594424306
GS,0.5354056663503869
GWW,0.44899444823766893
HAL,0.5039666579339391
HAS,0.5284053916438013
HBAN,0.4554669945364511
HCA,0.4978660785283354
HD,0.4809145384106137
HES,0.4834446127491733
HIG,0.4616093716846058
HII,0.5181506418822205
HLT,0.46393949731888434
HOLX,0.46906278588755457
HON,0.4656283574907146
HPE,0.516844159684545
HPQ,0.5083028420317037
HRL,0.5267771734794018
HSIC,0.4485652045905289
HST,0.514186551797016
HSY,0.5127786830614408
HUBB,0.4642126359108019
HUM,0.4707921906677069
HWM,0.47037196554754646
IBM,0.5613903355446989
ICE,0.430967783911557
IDXX,0.4418773662131821
IEX,0.4810809950986225
IFF,0.4649886081616266
INCY,0.4788761737200889
INTC,0.5607696162354864
INTU,0.45212447885331664
INVH,0.47024135001014694
IP,0.46749193767479513
IPG,0.4333966487803177
IQV,0.5143897687041796
IR,0.4864405039539786
IRM,0.45048069229595294
ISRG,0.5116597733714213
IT,0.47737976467788446
ITW,0.4303032237721526
IVZ,0.46641551836429523
J,0.4524074151643604
JBHT,0.44384255261990935
JCI,0.5660914052435018
JKHY,0.5386588827096939
JNJ,0.592273432342183
JNPR,0.4521788650493433
JPM,0.5476293544236202
K,0.49310658867636653
KDP,0.44215287605083936
KEY,0.4478462405968091
KEYS,0.5715151935123723
KHC,0.4628470618764558
KIM,0.4662738821688787
KLAC,0.49868797074017446
KMB,0.4840470801241885
KMI,0.4579979713092466
KMX,0.49778593606861793
KO,0.5013710366085824
KR,0.47080960973962965
L,0.54625163485076
LDOS,0.49673662922904327
LEN,0.5942268595466229
LH,0.4494904518667863
LHX,0.4575864040593136
LIN,0.5404603508782
LKQ,0.5553109419990242
LLY,0.523830016982885
LMT,0.46418742308010996
LNT,0.49724198031949257
LOW,0.449270705819686
LRCX,0.455831682273004
LULU,0.5020904116963959
LUV,0.4745202505297722
LVS,0.49970440901316787
LW,0.49140107145414713
LYB,0.4719037563084267
LYV,0.5410748152229261
MA,0.496172064638014
MAA,0.45455903465503367
MAR,0.48660372224902465
MAS,0.43801547744369757
MCD,0.5475360442575035
MCHP,0.46006573190932853
MCK,0.4707556552577847
MCO,0.4936098427200945
MDLZ,0.5091560320694271
MDT,0.5170501468818253
MET,0.5348182566486176
META,0.5889662883877915
MGM,0.49856770643582476
MHK,0.43809492856245597
MKC,0.45921184472012727
MKTX,0.48039350374418865
MLM,0.5544509035886465
MMC,0.44767687511535587
MMM,0.5707788531651663
MNST,0.5868298122106377
MO,0.502883282271443
MOH,0.513600232502556
MOS,0.4681112274505695
MPC,0.46474585459946877
MPWR,0.5239321859324217
MRK,0.5453301450891225
MRNA,0.5080644588339979
MRO,0.4848060337007659
MS,0.5464691392574307
MSCI,0.4821936319488818
MSFT,0.6038373816300523
MSI,0.5131454011026744
MTB,0.4688777652536779
MTCH,0.6311974060621374
MTD,0.5201995401115794
MU,0.44230566761804724
