ticker,composite_score
A,0.5440353936125041
AAPL,0.3232705306544303
ABBV,0.19999788527692056
ABNB,0.9374146238623572
ABT,0.1551711690967052
ACGL,0.3016050463841639
ACN,0.2909934791432909
ADBE,0.14468210381219423
ADI,0.09002793975645222
ADM,0.06823230406922087
ADP,0.13055162833145614
ADSK,0.33907802116295366
AEE,0.35365983598565864
AEP,0.25154431507312275
AES,0.33532096860309096
AFL,0.1782030815043615
AIG,0.08553730135611277
AIZ,0.19649611286293822
AJG,0.138901034049128
AKAM,0.18807053166168894
ALB,0.29193900051673094
ALGN,0.2822098107638271
ALL,0.1561518175789909
ALLE,0.1568692308264778
AMAT,0.2040420390240917
AMCR,0.20655196295449876
AMD,0.03157417770167639
AME,0.30689744901701504
AMGN,0.0
AMP,0.21861508585687958
AMT,0.11841639937572648
AMZN,0.2768221913189476
ANET,0.23244641429624832
ANSS,0.13785506178866355
AON,0.13508766446078777
AOS,0.3055315758575643
APA,0.10244467903501663
APD,0.21493114912357122
APH,0.20607776052633736
APTV,0.08798609660368079
ARE,0.18195594035331858
ATO,0.2815708996278533
AVB,0.08422928357196637
AVGO,0.20562166309183608
AVY,0.12849350258612918
AWK,0.2588116971416474
AXON,0.6091784577750762
AXP,0.1393019057384759
AZO,0.09867509676013883
BA,0.20624236143391325
BAC,0.2401854767541044
BALL,0.20510950542425294
BAX,0.1968886823103122
BBY,0.07943074743532152
BDX,0.10315291769370495
BEN,0.23868854327317587
BF.B,0.16968803048801084
BG,0.19695909573558956
BIIB,0.0530875134812928
BK,0.2003082915350887
BKNG,0.33859595414642524
BKR,0.21888958073719336
BLK,0.04879811443872877
BMY,0.07051494242548355
BR,0.0662196929953469
BRK.B,1.0
BRO,0.4104992923987393
BSX,0.09507243839331964
BWA,0.16903417793701947
BX,0.7045517712389461
BXP,0.17076276206045332
C,0.4770812418359424
CAG,0.22408573272218346
CAH,0.0844287887588924
CARR,0.19523238183334707
CAT,0.04181580016470039
CB,0.26913898441210204
CBOE,0.18847219601726928
CBRE,0.3371938894350792
CCI,0.121897559154023
CCL,0.08102490409291305
CDNS,0.08925245266912209
CDW,0.17742538426009796
CE,0.24187912023376862
CEG,0.2998146032263888
CF,0.24431353186611385
CFG,0.19248766822126115
CHD,0.18599456203049886
CHRW,0.24170052033849931
CHTR,0.6107855697118455
CI,0.17541362057713109
CINF,0.2637081097781189
CL,0.31491812176916056
CLX,0.07261671915527791
CMCSA,0.3854140295502171
CME,0.16699468165197479
CMG,0.2931849716466974
CMI,0.1331368987868241
CMS,0.33919906468812294
CNC,0.13235838184099488
CNP,0.44229574753661144
COF,0.033341977512023814
COO,0.09127587924140439
COP,0.11463093734120286
COR,0.2721271081597761
COST,0.3530045854972278
CPB,0.16431045236061065
CPRT,0.20627191721192004
CPT,0.1378025964313433
CRL,0.08188858442716951
CRM,0.21723218100273795
CSCO,0.49947212013430053
CSGP,0.21491494430544403
CSX,0.21846012076655025
CTAS,0.059457840375184846
CTLT,0.15105347431649147
CTRA,0.4669567674031225
CTSH,0.10677488991255396
CTVA,0.14953159657221143
CVS,0.1898454760693273
CVX,0.25098881521669275
CZR,0.09663772020643709
D,0.12122207482587458
DAL,0.192879004957928
